lati	long	angle	altitude
38.9444	-77.4596	179	50
38.9327	-77.4595	180	450
38.9231	-77.465	221	725
38.9188	-77.48	270	1075
38.9229	-77.494	305	1325
38.9329	-77.5093	313	1500
38.9456	-77.5265	314	1850
38.957	-77.5416	314	2300
38.9768	-77.5689	313	3000
39.0017	-77.6033	314	3700
39.0273	-77.6381	314	4475
39.0462	-77.6625	316	5725
39.0626	-77.6774	330	6500
39.0829	-77.6847	355	7200
39.1052	-77.68	23	7625
39.1289	-77.6551	55	8250
39.137	-77.6226	85	8525
39.1388	-77.588	85	8850
39.1433	-77.5259	85	9325
39.1477	-77.4656	85	9600
39.1521	-77.4039	85	9600
39.1561	-77.345	87	9600
39.1554	-77.2984	95	9600
39.1511	-77.26	100	9800
39.1364	-77.1736	103	10775
39.1246	-77.1017	101	11600
39.1138	-77.0315	100	12600
39.1091	-76.9789	94	13375
39.1088	-76.921	88	14275
39.1108	-76.8419	88	15450
39.1129	-76.7601	88	16650
39.115	-76.6769	88	17725
39.1169	-76.5957	88	18650
39.1242	-76.4741	83	19925
39.1365	-76.3624	82	21050
39.1463	-76.2756	82	21850
39.1561	-76.1886	82	22400
39.1666	-76.0976	82	22900
39.1766	-76.0105	82	23725
39.1837	-75.9495	80	24250
39.1994	-75.8919	62	24650
39.2216	-75.8502	49	25075
39.2556	-75.8102	39	25500
39.3105	-75.7504	40	26125
39.3655	-75.6902	40	26750
39.4194	-75.631	41	27425
39.4749	-75.57	41	28100
39.5319	-75.5071	41	28775
39.5912	-75.4415	41	29450
39.6469	-75.3798	41	30050
39.7026	-75.3177	41	30650
39.7575	-75.2566	41	31550
39.8106	-75.1973	41	32350
39.886	-75.1105	42	33200
39.9397	-75.0486	42	33950
39.967	-75.0154	45	34200
40.0075	-74.9522	54	34625
40.0346	-74.895	61	34950
40.0665	-74.819	61	35000
40.1019	-74.7351	61	35000
40.1366	-74.6523	61	35000
40.1765	-74.5574	60	35000
40.1972	-74.5169	53	35000
40.2485	-74.4442	46	35000
40.2964	-74.3737	50	35025
40.3425	-74.2983	52	35000
40.3845	-74.2292	52	35000
40.4529	-74.1163	52	35000
40.5005	-74.0378	52	35000
40.5455	-73.9635	52	35000
40.5905	-73.8891	52	35000
40.6371	-73.8116	52	35000
40.6833	-73.7345	52	35000
40.7278	-73.6603	52	35000
40.7748	-73.5816	52	35000
40.8188	-73.5078	52	35000
40.8798	-73.405	52	35000
40.9263	-73.3266	52	35000
40.9707	-73.2514	52	35000
41.0171	-73.1727	52	35000
41.0628	-73.095	52	35000
41.1087	-73.0167	52	35000
41.1558	-72.9402	49	35000
41.2049	-72.8686	47	35000
41.2557	-72.7975	47	35000
41.3082	-72.7236	47	35000
41.3586	-72.6525	47	35000
41.409	-72.5812	47	35000
41.4592	-72.5099	47	35000
41.5104	-72.4372	47	35000
41.5603	-72.3661	47	35000
41.6104	-72.2944	47	35000
41.663	-72.2191	47	35000
41.7144	-72.1454	47	35000
41.7639	-72.0742	47	35000
41.8138	-72.0022	47	35000
41.864	-71.9296	47	35000
41.9157	-71.8546	47	35000
41.9656	-71.782	47	35000
42.0161	-71.7085	47	35000
42.0677	-71.6331	47	35000
42.1186	-71.5586	48	35000
42.1683	-71.4856	48	35000
42.2187	-71.4114	48	35000
42.2692	-71.337	48	35000
42.3197	-71.2623	48	35000
42.3699	-71.1877	48	35000
42.4192	-71.1142	48	35000
42.4697	-71.039	48	35000
42.5187	-70.9659	48	35000
42.5724	-70.8853	48	35000
42.623	-70.8093	48	35000
42.6732	-70.7338	48	35000
42.7225	-70.6591	48	35000
42.771	-70.5857	48	35000
42.8219	-70.5084	48	35000
42.8723	-70.4317	48	35000
42.9204	-70.3583	48	35000
42.9701	-70.2822	48	35000
43.0202	-70.2053	48	35000
43.0718	-70.1259	49	35000
43.1217	-70.049	49	35000
43.1718	-69.9713	49	35000
43.2213	-69.8946	49	35000
43.2707	-69.8177	49	35000
43.3222	-69.7374	49	35000
43.3709	-69.6613	49	35000
43.424	-69.5781	49	35000
43.474	-69.4994	49	35000
43.5251	-69.4189	49	35000
43.5742	-69.3413	49	35000
43.6221	-69.2653	49	35000
43.6731	-69.1842	49	35000
43.7212	-69.1075	49	35000
43.7696	-69.0302	49	35000
43.8181	-68.9522	49	35000
43.8655	-68.8761	49	35000
43.9161	-68.7947	49	35000
43.9641	-68.717	50	35000
44.0121	-68.6392	50	35000
44.0627	-68.5571	50	35000
44.1155	-68.4708	50	35000
44.166	-68.3885	50	35000
44.2138	-68.31	50	35000
44.2613	-68.232	50	35000
44.31	-68.1517	50	35000
44.3566	-68.0747	50	35000
44.4069	-67.9914	50	35000
44.4531	-67.9145	50	35000
44.5025	-67.8321	50	35000
44.5502	-67.7524	50	35000
44.5981	-67.672	50	35000
44.6457	-67.5921	50	35000
44.6941	-67.5105	50	35000
44.7424	-67.4287	50	35000
44.7885	-67.3507	50	35000
44.8368	-67.2685	51	35000
44.8846	-67.1844	54	35000
44.9273	-67.0938	59	35000
44.9637	-67.0032	61	35000
45.0012	-66.9091	61	35000
45.0377	-66.8171	61	35000
45.0735	-66.7266	61	35000
45.1107	-66.6324	61	35000
45.1477	-66.5383	61	35000
45.1833	-66.4473	61	35000
45.2204	-66.3525	61	35000
45.2554	-66.2624	61	35000
45.2916	-66.1693	61	35000
45.327	-66.0775	61	35000
45.3628	-65.9845	61	35000
45.3984	-65.8917	62	35000
45.4338	-65.7993	62	35000
45.4688	-65.7075	62	35000
45.505	-65.6124	62	35000
45.5425	-65.5134	62	35000
45.5768	-65.4224	62	35000
45.6114	-65.3303	62	35000
45.648	-65.2327	62	35000
45.6835	-65.1377	62	35000
45.7203	-65.0386	62	35000
45.7539	-64.9479	62	35000
45.7881	-64.8554	62	35000
45.8238	-64.7585	62	35000
45.8563	-64.6703	62	35000
45.8903	-64.5772	62	35000
45.9248	-64.4824	62	35000
45.9606	-64.384	63	35000
45.9933	-64.2937	63	35000
46.0269	-64.2005	63	35000
46.0584	-64.1128	63	35000
46.0933	-64.0154	63	35000
46.127	-63.9209	63	35000
46.1602	-63.8276	63	35000
46.1949	-63.7296	63	35000
